system_type,hop1,hop2,hop3,hop4
Western,92.98561151079137,98.75328083989501,97.5574712643678,86.74603174603175
Non-Western,87.21309456423332,83.5518818463398,68.53448275862068,86.13333333333334
Δ Gap,5.772516946558056,15.201398993555216,29.022988505747122,0.612698412698407
