model,western,non_western,gap,cat1,cat2,cat3,cat4
gemini,98.15195071868584,84.25925925925925,13.892691459426587,100.0,99.52380952380952,86.14285714285714,61.36363636363637
deepseek_r1_32b,94.25051334702259,77.26851851851852,16.98199482850407,89.14285714285714,93.04761904761905,82.71428571428572,53.78787878787878
anthropic,87.06365503080082,75.13888888888889,11.924766141911931,100.0,86.85714285714286,85.28571428571429,47.272727272727266
gpt4o,92.29979466119096,81.2037037037037,11.096090957487263,100.0,90.38095238095238,86.14285714285714,62.57575757575757
gemma3_27b,96.91991786447637,84.49074074074075,12.429177123735627,100.0,98.38095238095238,84.85714285714286,64.54545454545453
qwen3_32b,96.71457905544148,83.75,12.964579055441476,99.71428571428572,98.28571428571429,86.14285714285714,61.212121212121204
