system,with_override_mean,with_override_std,without_override_mean,without_override_std,gap
Hawaiian,72.43947858472997,4.011295945724027,90.1844532279315,3.0395973636519957,17.74497464320153
Iroquois,68.4981684981685,7.210629921256235,88.73333333333333,2.915857030483873,20.235164835164838
Dravidian,78.45303867403315,7.993567003392527,88.04780876494023,3.372755670438321,9.594770090907076
Crow,60.893246187363836,4.954930464289394,91.39784946236558,3.0059129331921426,30.50460327500175
Omaha,51.935483870967744,4.419080126459036,91.69675090252707,2.3855869556677485,39.76126703155933
Average,66.44388316305263,9.227028661924457,90.01203913821954,1.4339972173194637,23.568155975166903
