system,type,overall_mean,overall_std,cat4_mean,cat4_std
Eskimo,Descriptive,94.25051334702259,3.872510652926939,93.76114081996434,7.330083848467768
Hawaiian,Generational,82.8317901234568,3.1863173441290047,63.888888888888886,4.024590265280108
Iroquois,Bifurcate,80.20833333333333,4.198162000935608,57.57575757575757,8.942389499810997
Dravidian,Bifurcate,84.02777777777777,4.826078941701199,71.59090909090908,9.659709823704631
Crow,Mat. Skewing,80.59413580246914,3.4604137340264134,55.176767676767675,5.201345940415651
Omaha,Pat. Skewing,77.43055555555556,2.9424868774179536,44.06565656565656,4.5542143426443005
Sudanese,Descriptive,94.21629021218344,3.621997840282076,93.76114081996435,6.233764153313977
